id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6606,"Fab, private seattle urban cottage!",14942,Joyce,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,160,0.88,2,147,1
9419,Glorious sun room w/ memory foambed,30559,Angielena,Georgetown,47.55017,-122.31937,Private room,76,2,196,1.16,10,337,15
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,Fairmount Park,47.55495,-122.38663,Entire home/apt,189,3,97,0.64,2,133,23
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,2,77,0.51,2,1,2
9596,"the down home , spacious, central and fab!",14942,Joyce,Wallingford,47.65608,-122.33602,Entire home/apt,,30,96,0.61,2,16,0
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Whittier Heights,47.67947,-122.37196,Entire home/apt,94,2,1056,6.12,1,96,61
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Sunset Hill,47.68897,-122.39424,Entire home/apt,,3,6,0.06,2,92,2
119103,Teeny Tiny Guestyhouse!,601600,Hal,Fremont,47.65244,-122.35108,Entire home/apt,109,3,554,3.49,2,314,28
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Phinney Ridge,47.67757,-122.36172,Entire home/apt,275,30,34,0.28,1,173,4
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Crown Hill,47.70085,-122.367,Private room,52,30,76,0.62,4,43,1
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Lawton Park,47.66133,-122.40088,Private room,67,1,377,2.45,1,235,46
226677,Sunny Parisian room cozy memory foam bed,30559,Angielena,Georgetown,47.54971,-122.31753,Private room,69,2,278,1.81,10,334,28
229990,Alki Beach 1/2 block to beach,1201633,Wayne,Alki,47.57884,-122.41071,Entire home/apt,270,3,24,0.33,1,203,11
241016,Scandinavian Queen Anne Home,956883,Maija,North Queen Anne,47.6411,-122.37446,Entire home/apt,315,2,147,1.15,3,324,18
241032,Stylish Queen Anne Apartment,956883,Maija,West Queen Anne,47.63626,-122.37083,Entire home/apt,124,2,363,2.36,3,77,24
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Phinney Ridge,47.67632,-122.36019,Entire home/apt,110,30,161,1.05,1,52,0
284087,Cozy Nest in Heart of City near Convention Cntr,721070,Suzanne,First Hill,47.6121,-122.33,Entire home/apt,260,3,320,2.13,1,300,19
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Eastlake,47.64424,-122.32397,Entire home/apt,150,30,12,0.08,1,170,0
338091,"spacious, great location w view",1717589,Judy,Broadway,47.61965,-122.32374,Entire home/apt,325,30,117,0.79,1,263,0
340706,Charming Wallingford Apartment,1015653,David,Wallingford,47.65431,-122.33358,Entire home/apt,,3,213,1.42,1,1,13
340738,Victorian home on Capitol Hill,1729224,Marlow,Stevens,47.62376,-122.30494,Entire home/apt,495,100,0,,4,167,0
353110,Newly Remodeled Private Cottage in West Seattle!,1788284,Eric,North Admiral,47.58037,-122.39163,Entire home/apt,89,30,92,0.62,1,144,6
356248,Amazing Waterview Condo near UW + Eastlake!,306615,Tara,Portage Bay,47.65047,-122.32022,Entire home/apt,,30,30,0.32,2,1,2
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Saint,First Hill,47.61401,-122.32235,Entire home/apt,190,30,221,1.51,2,118,23
365550,art loft downtown~ID~Stadiums,1025723,Dirk & Jaq,International District,47.60002,-122.32742,Private room,144,3,860,5.76,2,94,44
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Green Lake,47.68528,-122.33125,Entire home/apt,,4,46,0.35,1,337,0
